Time (s),Current I(t) [A],Magnetic Field B(t) [T],Force F(t) [N],Net Lift [N]
0.0,0.0,0.0,1242780.7196837445,1242748.3577387442
3.0030030030030027e-07,0.14935599634581417,0.00023902350233353346,1242781.4391553497,1242749.0772103497
6.006006006006005e-07,0.29870973517475413,0.0004781512065620489,1242782.8777744756,1242750.5158294756
9.009009009009009e-07,0.44806118972547926,0.000717383065748013,1242784.3157375988,1242751.9537925988
1.201201201201201e-06,0.5974103332374624,0.0009567190318193246,1242785.7530290524,1242753.3910840524
1.5015015015015013e-06,0.7467571389509993,0.0011961590555693944,1242787.1896331704,1242754.8276881704
1.8018018018018017e-06,0.8961015801072088,0.0014357030866572213,1242788.6255342881,1242756.263589288
2.1021021021021017e-06,1.0454436299480325,0.0016753510736074772,1242790.060716785,1242757.6987717848
2.402402402402402e-06,1.194783261720087,0.0019151029638167728,1242791.495165186,1242759.1332201858
2.7027027027027026e-06,1.344120448683897,0.0021549587035685743,1242792.9288637808,1242760.5669187808
3.0030030030030026e-06,1.4934551640832412,0.00239491823798418,1242794.361796692,1242761.9998516918
3.303303303303303e-06,1.642787381160475,0.0026349815110473887,1242795.793948239,1242763.432003239
3.6036036036036035e-06,1.7921170731589835,0.0028751484656085627,1242797.2253027712,1242764.863357771
3.903903903903904e-06,1.9414442133231824,0.00311541904338477,1242798.6558446398,1242766.2938996395
4.2042042042042035e-06,2.0907687748985193,0.003355793184959936,1242800.085558198,1242767.7236131977
4.504504504504504e-06,2.2400907311314717,0.0035962708297850006,1242801.5144278011,1242769.1524828011
4.804804804804804e-06,2.389410055269548,0.0038368519161780896,1242802.9424378078,1242770.5804928078
5.105105105105105e-06,2.5387267205612876,0.004077536381324694,1242804.3695725785,1242772.0076275782
5.405405405405405e-06,2.688040700256259,0.004318324161277849,1242805.7958164755,1242773.4338714755
5.705705705705705e-06,2.8373519676050645,0.004559215190958351,1242807.2211538658,1242774.8592088656
6.006006006006005e-06,2.9866604958593355,0.004800209404154941,1242808.6455691173,1242776.2836241173
6.306306306306306e-06,3.135966258271733,0.005041306733524533,1242810.0690466028,1242777.7071016028
6.606606606606606e-06,3.285269228095951,0.005282507110592439,1242811.4915706972,1242779.129625697
6.9069069069069065e-06,3.434569378586713,0.005523810465752603,1242812.9131257785,1242780.5511807783
7.207207207207207e-06,3.5838666829997723,0.005765216728267838,1242814.3336962287,1242781.9717512287
7.5075075075075065e-06,3.733161114591915,0.006006725826270086,1242815.7532664333,1242783.3913214332
7.807807807807808e-06,3.882452646620958,0.006248337686760687,1242817.1718207812,1242784.8098757812
8.108108108108107e-06,4.031741252345746,0.00649005223561063,1242818.5893436656,1242786.2273986654
8.408408408408407e-06,4.181026905026156,0.006731869397560852,1242820.0058194832,1242787.643874483
8.708708708708708e-06,4.330309577923099,0.00697378909622253,1242821.4212326345,1242789.0592876344
9.009009009009008e-06,4.479589244298511,0.007215811254077367,1242822.8355675251,1242790.473622525
9.309309309309309e-06,4.628865877415365,0.007457935792477909,1242824.2488085644,1242791.8868635644
9.609609609609609e-06,4.778139450537658,0.007700162631647865,1242825.660940166,1242793.298995166
9.909909909909908e-06,4.927409936930421,0.007942491690682429,1242827.0719467492,1242794.710001749
1.021021021021021e-05,5.07667730985972,0.008184922887548626,1242828.4818127363,1242796.1198677362
1.0510510510510509e-05,5.225941542592644,0.008427456139085649,1242829.8905225557,1242797.5285775557
1.081081081081081e-05,5.375202608397317,0.008670091361005215,1242831.2980606407,1242798.9361156404
1.111111111111111e-05,5.524460480542894,0.008912828467891942,1242832.704411429,1242800.3424664289
1.141141141141141e-05,5.6737151322995585,0.009155667373203707,1242834.1095593642,1242801.7476143641
1.171171171171171e-05,5.822966536938531,0.009398607989272053,1242835.5134888953,1242803.151543895
1.201201201201201e-05,5.97221466773205,0.009641650227302533,1242836.916184476,1242804.5542394759
1.2312312312312312e-05,6.1214594979533965,0.009884793997375177,1242838.3176305664,1242805.9556855662
1.2612612612612611e-05,6.27070100087688,0.01012803920844486,1242839.7178116322,1242807.3558666322
1.291291291291291e-05,6.419939149777838,0.01037138576834174,1242841.1167121448,1242808.7547671448
1.3213213213213212e-05,6.56917391793264,0.010614833583771669,1242842.5143165817,1242810.1523715816
1.3513513513513512e-05,6.718405278618684,0.010858382560316656,1242843.9106094264,1242811.5486644262
1.3813813813813813e-05,6.867633205114404,0.011102032602435304,1242845.3055751687,1242812.9436301687
1.4114114114114113e-05,7.016857670699257,0.011345783613463264,1242846.6991983051,1242814.3372533051
1.4414414414414414e-05,7.166078648653745,0.011589635495613726,1242848.0914633381,1242815.7295183379
1.4714714714714713e-05,7.315296112259379,0.011833588149977842,1242849.482354777,1242817.120409777
1.5015015015015013e-05,7.464510034798722,0.012077641476525274,1242850.8718571386,1242818.5099121386
1.5315315315315313e-05,7.613720389555352,0.012321795374104652,1242852.2599549452,1242819.8980099452
1.5615615615615616e-05,7.762927149813893,0.01256604974044409,1242853.6466327272,1242821.2846877272
1.5915915915915915e-05,7.9121302888599825,0.012810404472151683,1242855.031875022,1242822.669930022
1.6216216216216215e-05,8.061329779980301,0.01305485946471606,1242856.4156663741,1242824.053721374
1.6516516516516514e-05,8.210525596462553,0.013299414612506883,1242857.797991335,1242825.4360463347
1.6816816816816814e-05,8.359717711595483,0.013544069808775422,1242859.1788344646,1242826.8168894646
1.7117117117117117e-05,8.50890609866886,0.013788824945655078,1242860.5581803299,1242828.1962353298
1.7417417417417416e-05,8.658090730973475,0.01403367991416194,1242861.9360135058,1242829.5740685058
1.7717717717717716e-05,8.807271581801167,0.014278634604195378,1242863.3123185749,1242830.9503735749
1.8018018018018016e-05,8.956448624444795,0.014523688904538607,1242864.6870801286,1242832.3251351286
1.8318318318318315e-05,9.10562183219825,0.01476884270285927,1242866.0602827657,1242833.6983377656
1.8618618618618618e-05,9.254791178356456,0.015014095885710054,1242867.4319110934,1242835.0699660932
1.8918918918918918e-05,9.403956636215366,0.015259448338529253,1242868.8019497276,1242836.4400047276
1.9219219219219217e-05,9.553118179071966,0.015504899945641437,1242870.1703832927,1242837.8084382925
1.9519519519519517e-05,9.70227578022427,0.01575045059025804,1242871.5371964215,1242839.1752514215
1.9819819819819816e-05,9.85142941297132,0.015996100154478,1242872.9023737558,1242840.5404287558
2.012012012012012e-05,10.0005790506132,0.016241848519288414,1242874.265899947,1242841.903954947
2.042042042042042e-05,10.149724666451014,0.01648769556456517,1242875.6277596536,1242843.2658146536
2.072072072072072e-05,10.2988662337869,0.016733641169073613,1242876.9879375459,1242844.6259925459
2.1021021021021018e-05,10.448003725924025,0.01697968521046924,1242878.3464183016,1242845.9844733016
2.1321321321321318e-05,10.59713711616659,0.017225827565298335,1242879.7031866086,1242847.3412416084
2.162162162162162e-05,10.746266377819829,0.017472068108998706,1242881.058227164,1242848.696282164
2.192192192192192e-05,10.895391484189997,0.01771840671590032,1242882.4115246749,1242850.0495796748
2.222222222222222e-05,11.044512408584389,0.017964843259226086,1242883.763115714,1242851.4011707138
2.252252252252252e-05,11.193629128927533,0.018211377618602795,1242885.1131907753,1242852.7512457753
2.282282282282282e-05,11.342741636839301,0.01845800969484289,1242886.461700939,1242854.099755939
2.3123123123123122e-05,11.491849907234414,0.018704739360488037,1242887.8084217273,1242855.4464767273
2.342342342342342e-05,11.640953913100645,0.018951566483839256,1242889.153316261,1242856.791371261
2.372372372372372e-05,11.790053627428854,0.019198490932096975,1242890.4963693472,1242858.1344243472
2.402402402402402e-05,11.939149023212984,0.019445512571361834,1242891.8375658041,1242859.475620804
2.432432432432432e-05,12.088240073450061,0.01969263126663545,1242893.1768904603,1242860.81494546
2.4624624624624623e-05,12.237326751140198,0.01993984688182118,1242894.5143281554,1242862.1523831552
2.4924924924924923e-05,12.386409029286588,0.02018715927972493,1242895.8498637401,1242863.4879187401
2.5225225225225222e-05,12.535486880895508,0.020434568322055976,1242897.1834820763,1242864.821537076
2.5525525525525522e-05,12.684560278976324,0.020682073869427726,1242898.5151680366,1242866.1532230366
2.582582582582582e-05,12.83362919654148,0.02092967578135859,1242899.8449065057,1242867.4829615057
2.6126126126126125e-05,12.982693606606507,0.021177373916272772,1242901.1726823794,1242868.8107373794
2.6426426426426424e-05,13.131753482190017,0.021425168131501124,1242902.4984805651,1242870.136535565
2.6726726726726724e-05,13.28080879631371,0.021673058283281987,1242903.822285982,1242871.460340982
2.7027027027027023e-05,13.429859522002367,0.021921044226762054,1242905.1440835616,1242872.7821385616
2.7327327327327323e-05,13.578905632283854,0.022169125815997236,1242906.4638582468,1242874.1019132468
2.7627627627627626e-05,13.727947100189123,0.022417302903953516,1242907.7815949926,1242875.4196499926
